do,ph,co,bod,na,tc,wqi
4.9,7.4,407.0,16.3,0.0,120.0,67.06
4.9,8.3,603.0,1.0,0.0,5.0,87.66
5.5,7.4,138.0,0.8,0.0,6.0,88.38000000000001
5.5,8.1,625.0,1.1,0.0,6.0,87.66000000000001
5.0,7.3,305.0,1.7,0.0,12.0,82.04
5.6,8.1,552.0,1.1,0.0,6.0,87.66000000000001
7.3,7.3,402.0,2.1,0.0,32.0,93.28
7.2,7.3,99.0,2.2,1.0,57.0,88.38
7.2,7.4,102.0,2.2,1.0,56.0,88.38
7.6,7.2,72.0,1.8,2.56,57.0,88.56
7.1,7.5,131.0,2.2,3.2,413.0,88.38
5.2,2.9,682.0,7.8,1.5,30.0,61.800000000000004
7.3,7.1,47.0,1.3,2.0,48.0,94.18
7.6,7.2,52.0,1.2,2.0,36.0,94.18
8.0,6.9,64.0,1.8,3.38,49.0,90.88000000000001
7.9,7.3,46.0,1.4,1.0,29.0,94.18
7.4,7.2,53.0,1.9,3.0,32.0,94.18
7.7,7.2,55.0,1.6,3.0,63.0,88.56
7.1,6.5,237.0,3.8,4.56,1072.0,67.82
7.8,7.2,50.0,1.6,1.77,41.0,94.18
7.3,7.3,71.0,2.0,2.66,47.0,94.18
7.3,7.0,91.0,1.8,3.3,45.0,94.0
7.4,7.1,49.0,1.7,2.44,42.0,94.18
6.5,7.1,99.0,2.7,3.56,2722.0,82.75999999999999
7.5,5.7,50.0,1.5,2.21,23.0,77.68
5.8,6.9,68.0,3.1,4.9,463.0,74.96000000000001
6.9,7.2,44.0,1.4,2.66,33.0,94.18
7.8,7.3,93.0,1.9,2.99,444.0,88.38
6.6,7.0,66.0,2.3,4.0,63.0,88.56
7.6,7.1,53.0,1.7,3.0,53.0,88.56
7.8,7.0,47.0,1.4,2.0,35.0,94.18
7.7,7.4,128.0,1.6,3.32,56.0,88.38
7.1,7.0,54.0,1.8,2.58,43.0,94.18
7.4,7.0,69.0,1.6,3.3,87.0,88.56
7.5,7.2,58.0,1.6,2.25,46.0,94.18
3.1,7.2,401.0,21.8,19.0,31444.0,44.58
4.7,7.2,202.0,13.6,15.0,20056.0,50.739999999999995
2.1,7.2,303.0,37.2,18.2,62333.0,33.339999999999996
1.8,7.2,394.0,40.6,15.4,96944.0,33.339999999999996
7.2,6.9,55.0,1.7,3.04,56.0,85.26
7.9,7.1,55.0,1.2,3.55,50.0,94.18
6.9,6.9,52.0,2.2,3.48,45.0,90.88000000000001
1.9,7.0,306.0,34.2,17.9,85667.0,33.339999999999996
4.5,7.1,196.0,15.5,11.0,43333.0,50.739999999999995
7.2,7.1,107.0,6.7,5.56,476.0,79.02
7.5,7.0,82.0,2.1,3.02,122.0,88.38
6.6,7.7,165.0,1.7,0.0,325.0,88.2
6.7,7.8,167.0,4.8,1.0,520.0,77.9
6.6,7.7,183.0,3.7,1.55,575.0,77.9
7.2,7.4,319.0,0.7,0.18,10.0,93.28
6.2,8.4,894.0,9.0,0.38,350.0,78.3
5.9,7.2,52.0,2.1,0.08,90.0,82.94000000000001
6.1,6.8,408.0,1.3,0.17,3808.0,78.74000000000001
5.5,6.9,143.0,1.3,0.09,11113.0,62.60000000000001
5.4,7.2,60.0,1.5,0.08,2309.0,77.32000000000002
5.8,7.2,34.0,5.3,0.17,3322.0,72.64
5.9,6.7,125.0,1.5,0.14,5793.0,70.53999999999999
6.4,6.7,175.0,1.3,0.1,3636.0,75.98000000000002
6.2,7.7,39.0,1.3,0.06,4517.0,82.94
6.1,7.8,39.0,1.5,0.06,5840.0,82.94
7.3,6.9,61.0,0.7,0.09,4388.0,79.64000000000001
6.8,6.6,71.0,1.5,0.14,3949.0,73.04
7.4,6.5,129.0,2.3,0.49,16691.0,61.620000000000005
7.0,6.8,503.0,1.6,0.66,2404.0,78.74000000000001
6.3,7.5,31.0,1.6,0.06,4267.0,82.94
7.1,6.8,70.0,0.8,0.17,3567.0,79.64000000000001
7.3,6.8,69.0,1.2,0.12,2446.0,79.64000000000001
6.7,6.6,118.0,1.0,0.22,3496.0,72.86000000000001
7.4,6.8,80.0,1.3,0.06,1404.0,79.46000000000001
4.5,6.6,250.0,2.4,0.16,5889.0,61.260000000000005
6.1,6.9,74.0,1.8,0.19,3937.0,79.64000000000001
5.9,7.3,44.0,1.6,0.14,2794.0,77.32000000000002
2.4,6.5,195.0,4.8,0.35,14217.0,28.660000000000004
4.0,6.8,207.0,1.8,0.34,2280.0,62.42
5.4,7.6,40.0,1.6,0.07,1330.0,77.32000000000002
5.3,7.6,41.0,1.4,0.08,2517.0,77.32000000000002
7.0,6.9,54.0,0.8,0.21,3059.0,79.64000000000001
5.9,7.7,44.0,2.1,0.08,831.0,77.32000000000002
7.1,6.5,60.0,1.7,0.13,8163.0,73.04
6.9,7.7,99.0,3.3,0.56,123.0,83.7
6.6,7.9,123.0,3.2,0.52,104.0,83.7
6.6,7.7,220.0,3.6,0.65,77.0,83.52000000000001
6.8,7.7,219.0,3.4,0.63,75.0,83.52000000000001
6.4,8.0,493.0,4.2,3.91,68.0,82.98
6.8,7.6,100.0,3.0,0.54,295.0,88.38
6.7,7.5,316.0,4.6,0.6,132.0,82.98
6.9,7.7,84.0,3.1,0.42,168.0,83.7
6.9,7.9,312.0,2.7,1.58,107.0,87.66
6.8,7.5,146.0,3.0,0.6,241.0,88.38
6.7,7.3,127.0,2.9,0.59,209.0,88.38
5.6,6.9,432.0,4.5,1.72,173.0,74.06
6.5,7.3,126.0,3.0,0.59,284.0,88.38
7.1,7.5,128.0,3.0,0.6,297.0,88.38
6.4,7.3,129.0,3.1,0.6,191.0,83.7
6.9,7.7,129.0,2.9,0.55,268.0,88.38
7.0,7.9,153.0,2.9,0.55,86.0,88.2
6.9,7.7,307.0,2.8,3.6,123.0,87.66
6.3,7.7,322.0,3.5,1.1,116.0,82.98
7.0,8.0,206.0,2.9,0.56,74.0,88.2
6.8,7.8,239.0,3.3,0.56,77.0,83.34
6.4,7.6,152.0,3.2,0.96,142.0,83.52000000000001
6.7,7.7,146.0,3.0,0.89,73.0,88.38
6.7,7.6,137.0,2.9,0.76,64.0,88.38
6.6,7.8,228.0,3.5,0.57,79.0,83.34
7.0,7.7,409.0,2.4,0.93,112.0,87.66
6.8,7.6,263.0,2.9,0.81,123.0,88.02
6.9,7.5,338.0,2.3,3.93,108.0,87.66
7.0,7.2,79.0,0.8,0.62,637.0,82.75999999999999
6.6,7.0,67.0,1.1,0.53,670.0,82.94
6.6,7.3,59.0,0.7,0.57,541.0,82.94
6.2,7.3,66.0,0.8,0.55,609.0,82.94
7.1,7.0,67.0,1.0,0.34,538.0,82.94
6.7,7.3,89.0,1.1,0.35,2025.0,82.75999999999999
6.2,7.3,136.0,1.0,0.46,676.0,82.75999999999999
7.1,8.1,212.0,0.9,0.56,992.0,82.58000000000001
6.3,6.3,134.0,1.2,0.67,780.0,66.25999999999999
7.3,7.2,76.0,0.6,0.31,893.0,82.75999999999999
6.8,7.1,75.0,0.8,0.5,1169.0,82.94
7.4,7.2,61.0,0.7,0.11,255.0,88.56
1.7,6.6,769.0,3.4,1.11,1717.0,39.36000000000001
6.6,7.2,92.0,0.8,0.77,660.0,82.75999999999999
6.0,6.7,95.0,1.2,0.29,680.0,76.16
6.6,6.8,78.0,1.0,0.2,626.0,79.46000000000001
0.6,6.7,268.0,4.1,1.28,1308.0,43.02000000000001
1.8,6.6,82.0,2.0,0.39,1410.0,44.760000000000005
7.1,7.2,61.0,1.0,0.34,608.0,82.94
6.6,8.0,310.0,1.1,0.54,783.0,82.03999999999999
7.0,7.1,97.0,0.8,0.35,77.0,88.38
7.3,7.0,51.0,0.7,0.18,258.0,88.56
7.0,7.4,55.0,0.9,0.32,1400.0,82.94
6.1,6.8,67.0,1.1,0.58,394.0,85.26
7.0,6.7,61.0,1.3,0.28,248.0,81.96000000000001
5.2,6.9,81.0,1.5,0.37,465.0,79.46000000000001
6.1,8.0,510.0,1.1,0.72,1572.0,82.03999999999999
7.9,7.2,50.0,1.1,0.3,845.0,82.94
7.5,6.9,34.0,0.9,0.14,256.0,85.26
7.0,7.4,72.0,1.0,0.38,897.0,82.94
7.3,7.3,99.0,0.9,0.23,1788.0,82.75999999999999
